

1561405071791, soc-Epinions1.txt, 22%, kc=6 ,,,,,51.148, SMt, 0.763, 0.203, 2.362
1561405130342, soc-Epinions1.txt, 25%, kc=5 ,,,,,46.103, SMt, 0.763, 0.239, 2.121
1561405191776, soc-Epinions1.txt, 31%, kc=4 ,,,,,38.862, SMt, 0.768, 0.337, 1.812
1561405254807, soc-Epinions1.txt, 39%, kc=3 ,,,,,27.927, SMt, 0.768, 0.430, 1.503
1561405329155, soc-Epinions1.txt, 58%, kc=2 ,,,,,2.895, SMt, 0.782, 1.016, 1.081

1561405957457, wiki-Vote.txt, 34%, kc=14 ,,,,,7.584, SMt, 1.132, 0.066, 3.633
1561405974410, wiki-Vote.txt, 35%, kc=13 ,,,,,7.269, SMt, 1.132, 0.069, 3.563
1561405990848, wiki-Vote.txt, 36%, kc=12 ,,,,,7.058, SMt, 1.133, 0.074, 3.491
1561406007377, wiki-Vote.txt, 38%, kc=11 ,,,,,6.634, SMt, 1.132, 0.079, 3.399
1561405342451, wiki-Vote.txt, 39%, kc=10 ,,,,,6.359, SMt, 1.132, 0.086, 3.302
1561405356327, wiki-Vote.txt, 49%, kc=5 ,,,,,4.145, SMt, 1.132, 0.148, 2.788
1561405369782, wiki-Vote.txt, 52%, kc=4 ,,,,,3.374, SMt, 1.134, 0.193, 2.630
1561405383902, wiki-Vote.txt, 58%, kc=3 ,,,,,9.574, SMt, 1.132, 0.252, 2.411
1561405398947, wiki-Vote.txt, 67%, kc=2 ,,,,,7.532, SMt, 1.134, 0.546, 2.118

1561406041421, Email-Enron.txt, 20%, kc=14 ,,,,,56.862, SMt, 0.735, 0.101, 3.175
1561405432938, Email-Enron.txt, 32%, kc=10 ,,,,,42.243, SMt, 0.740, 0.150, 2.339
1561405852340, Email-Enron.txt, 32%, kc=9 ,,,,,42.243, SMt, 0.740, 0.150, 2.339
1561405895177, Email-Enron.txt, 42%, kc=8 ,,,,,30.456, SMt, 0.733, 0.192, 1.951
1561405939010, Email-Enron.txt, 42%, kc=7 ,,,,,30.456, SMt, 0.733, 0.192, 1.951
1561405471235, Email-Enron.txt, 58%, kc=5 ,,,,,11.907, SMt, 0.728, 0.263, 1.556
1561405510857, Email-Enron.txt, 68%, kc=4 ,,,,,0.143, SMt, 0.702, 0.346, 1.370
1561405549345, Email-Enron.txt, 68%, kc=3 ,,,,,0.143, SMt, 0.702, 0.346, 1.370
1561405590693, Email-Enron.txt, 100%, kc=2 ,,,,,0.000, SMt, 0.632, 1.000, 1.002

1561406628420, Gowalla_edges.txt, 29%, kc=11 ,,,,,195.156, SMt, 0.410, 0.124, 2.300
1561406939737, Gowalla_edges.txt, 35%, kc=10 ,,,,,168.063, SMt, 0.388, 0.147, 2.058
1561407248104, Gowalla_edges.txt, 35%, kc=9 ,,,,,168.063, SMt, 0.388, 0.147, 2.058
1561407603975, Gowalla_edges.txt, 43%, kc=8 ,,,,,133.185, SMt, 0.363, 0.180, 1.807
1561407954527, Gowalla_edges.txt, 43%, kc=7 ,,,,,133.185, SMt, 0.363, 0.180, 1.807
1561408368904, Gowalla_edges.txt, 55%, kc=6 ,,,,,185.124, SMt, 0.335, 0.238, 1.536
1561408782418, Gowalla_edges.txt, 55%, kc=5 ,,,,,185.124, SMt, 0.335, 0.238, 1.536
1561409269382, Gowalla_edges.txt, 72%, kc=4 ,,,,,111.889, SMt, 0.301, 0.362, 1.253
1561409754100, Gowalla_edges.txt, 72%, kc=3 ,,,,,111.889, SMt, 0.301, 0.362, 1.253
1561410281301, Gowalla_edges.txt, 100%, kc=2 ,,,,,0.000, SMt, 0.288, 0.889, 0.967
1561444339824, wiki-Vote.txt, 29%, kc=20 ,,,,8.552, SMt, 1.134, 0.052, 3.959
1561444363517, wiki-Vote.txt, 30%, kc=19 ,,,,8.214, SMt, 1.135, 0.054, 3.915
1561444387193, wiki-Vote.txt, 31%, kc=18 ,,,,8.229, SMt, 1.135, 0.056, 3.856
1561444652887, wiki-Vote.txt, 25%, kc=27 ,,,,9.508, SMt, 1.140, 0.045, 4.242
1561444675853, wiki-Vote.txt, 26%, kc=25 ,,,,9.262, SMt, 1.137, 0.047, 4.151
1561444699366, wiki-Vote.txt, 28%, kc=23 ,,,,8.794, SMt, 1.134, 0.049, 4.070
1561444788845, wiki-Vote.txt, 23%, kc=31 ,,,,9.595, SMt, 1.150, 0.042, 4.365
1561444846807, wiki-Vote.txt, 22%, kc=33 ,,,,9.972, SMt, 1.158, 0.041, 4.436
1561444867658, wiki-Vote.txt, 21%, kc=34 ,,,,10.110, SMt, 1.161, 0.040, 4.464
1561444887809, wiki-Vote.txt, 21%, kc=35 ,,,,10.278, SMt, 1.164, 0.040, 4.492
